video_id,title,channel_id,channel_title,views,likes,comments,age_days,views_per_day,likes_per_day,comments_per_day,views_vs_channel_avg,likes_vs_channel_avg,comments_vs_channel_avg,engagement_rate,thumbnail_effectiveness
5kpHaYze8kI,We are being Forced to Buy Chromebooks,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,1546577,66180,8666,4,386644.25,16545.0,2166.5,1.694239727987201,1.7159135820988107,3.359939619824972,0.048394615980969585,2.132310794278855
--5wLkbb1Z8,"I was wrong, iPhone IS better than Android… - 30 Day iPhone Challenge PT2",UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,1180385,54280,6571,9,131153.88888888888,6031.111111111111,730.1111111111111,0.5747043413566209,0.6254980641101605,1.1323005996291966,0.051551824192953996,0.737623340580814
qE9tOjjtK4Y,I Gave Him an IMPOSSIBLE Task - Building a Portable 16 Player LAN Party,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,768437,44711,1518,10,76843.7,4471.1,151.8,0.33672206268560845,0.4637063292186155,0.23542064818344371,0.06015977887582196,0.375887134058203
ux2hOuJ43tg,There's a Hidden Gaming Setup in my New Desk,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,507624,29658,1558,7,72517.71428571429,4236.857142857143,222.57142857142858,0.3177659890860452,0.4394125546594701,0.34517727260474806,0.06149433438923298,0.38186432355334543
2ru4Nsab94w,creators give tech hot takes,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,741463,28811,1203,3,247154.33333333334,9603.666666666666,401.0,1.0830076756023779,0.996014631083889,0.6218951246479639,0.0404794305312605,1.0037372426599398
Us7qSE44XOg,how much does LTT spend on each video?,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,690664,21434,188,1,690664.0,21434.0,188.0,3.0264264565955714,2.2229611192931946,0.29156180407435717,0.03130610542897849,2.3084899472272475
vBPZqFjfPvU,we have a big problem,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,335408,6200,178,8,41926.0,775.0,22.25,0.18371589603515737,0.08037673170907092,0.03450664968433216,0.019015646615465343,0.12520879365463236
BOa60162rzM,Everything is Falling Apart - Scrapyard Wars X Home Theater Edition - Part 3,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,750703,49964,2127,3,250234.33333333334,16654.666666666668,709.0,1.0965039538017836,1.7272873217686104,1.0995602079187192,0.06938962545773761,1.3756095746426047
Lh9gnkF-Imo,Nintendo's Greed could Change the Tech Industry,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,1610458,75267,7640,5,322091.6,15053.4,1528.0,1.411375921847958,1.561216894334617,2.3697150884341367,0.05148038632488398,1.7328355200680612
DzvhAMHF_dY,"Android Has Become Apple - WAN Show August 29, 2025",UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,314393,8035,1644,5,62878.6,1607.0,328.8,0.2755282722042705,0.16666504239545415,0.509922984998131,0.030786308855477063,0.2986685248065572
MHPGeQD8TvI,How I would learn to code (if I could start over),UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,3435313,185670,2410,1593,2156.505335844319,116.55367231638418,1.5128688010043942,2.184463653512884,2.752864129085359,1.1382496964552642,0.054749014136412026,2.263218209376504
INymz5VwLmk,How I consistently study with a full time job (9 months in and still going strong),UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,2864761,118785,2041,1426,2008.9488078541374,83.29943899018232,1.4312762973352033,2.0349941080981457,1.9674372588324909,1.0768612651036338,0.04217664230977732,1.8999927417583446
VznoKyh6AXs,How to learn to code FAST using ChatGPT (it's a game changer seriously),UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,2380622,83105,1863,917,2596.0981461286806,90.62704471101418,2.0316248636859324,2.6297556268043873,2.140506905974987,1.528550514668696,0.03569151255428203,2.3435006008217907
_EzmbCuoFcU,How to self study technical things,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,2316256,80152,1708,1614,1435.102850061958,49.660470879801736,1.0582403965303593,1.4537084434273861,1.1729233940171344,0.7961971383954008,0.035341516654463064,1.281722428564562
ouvbeb2wSGA,Financial Literacy In 63 Minutes,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,1647876,107462,2038,246,6698.682926829269,436.8373983739837,8.284552845528456,6.785528946691287,10.317598582071149,6.233118004304043,0.06644917457381502,8.248629929695193
qU3fmidNbJE,AI Agents Fundamentals In 21 Minutes,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,1312962,46327,1258,200,6564.81,231.635,6.29,6.64992040541521,5.470953165763531,4.732459672610312,0.03624248074201691,6.127030383207918
I-4xBROt2Zc,How to Completely Transform Your Life in 6 Months (the butterfly effect 🦋),UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,1139505,51093,714,977,1166.3306038894575,52.295803480040945,0.7308085977482088,1.1814516615507147,1.2351669290274676,0.5498445496407456,0.04546447799702502,1.1199484059333191
p09yRj47kNM,Google's 9 Hour AI Prompt Engineering Course In 20 Minutes,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,1137044,36334,784,269,4226.92936802974,135.07063197026022,2.9144981412639406,4.2817299901611445,3.190213489236842,2.192805233613563,0.03264429520757332,3.651936315024416
XLoMFXGTczU,Why You Will Pick the Wrong Career,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,830382,40836,1288,950,874.0863157894737,42.985263157894735,1.3557894736842104,0.8854185311475311,1.015262639734335,1.0200666150651965,0.05072845991363011,0.999559434453941
nH6RWQ2xoRo,How To Create A Self Study Schedule,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,805392,46305,491,585,1376.7384615384615,79.15384615384616,0.8393162393162393,1.3945873815547682,1.8695231083288109,0.631483347397623,0.05810338319725053,1.464888364322924
sOZ8MxFw8TQ,Why you should not be a data scientist,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,779846,21777,996,1446,539.3125864453665,15.060165975103734,0.6887966804979253,0.546304580559117,0.35570385614616956,0.5182356936540988,0.029201919353308216,0.4976300229888151
tXlL89ZM_XA,How to Choose A Career You Won’t Regret,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,761814,34563,766,721,1056.6074895977808,47.9375866851595,1.0624133148404993,1.0703060264639528,1.132230844363922,0.7993367516894921,0.046374836902446,1.0826731791064717
x2x8Ww7Es4s,Which Jobs Will Survive AI?,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,741291,24423,2802,550,1347.8018181818181,44.405454545454546,5.094545454545455,1.365275585002916,1.0488059322754468,3.8330255824986543,0.03672646774343679,1.828665942805911
0zi-CG_iB6w,How To Self Study AI FAST,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,723692,31796,638,614,1178.6514657980456,51.785016286644954,1.0390879478827362,1.1939322590117567,1.2231027210591499,0.7817872511367973,0.04481740851080294,1.1704612949548223
SrJzxalevjY,Techniques I use to be more disciplined and CONSISTENTLY study (with a full time job),UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,669833,40314,626,1309,511.7135217723453,30.79755538579068,0.4782276546982429,0.5183477039184378,0.7274029535073249,0.35980812244617555,0.061119711928197026,0.5829328651226134
_xf1TMs0ysk,5 Unique Python Projects (beginner to intermediate),UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,624297,22497,266,1244,501.84646302250803,18.084405144694532,0.21382636655948553,0.5083527222933832,0.4271329185024579,0.16087832379706765,0.03646181224641477,0.4296050273454214
ZpEfb3Tm3Qc,How To Reach Your Full Potential (alter ego effect 👯),UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,600666,38066,732,741,810.6153846153846,51.37112010796221,0.9878542510121457,0.8211247221316907,1.2133269677875729,0.7432401280336478,0.0645916366166888,0.9828400234772487
EhhUIrLvX34,Learn To Learn In 25 Minutes,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,547371,34726,512,281,1947.9395017793595,123.58007117437722,1.8220640569395017,1.973193838267505,2.9188196154153796,1.3708815056246313,0.06437681207078928,2.273954956102808
0Kr1eh1wwb8,Google's 8 Hour AI Essentials Course In 15 Minutes,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,523991,18665,625,311,1684.8585209003215,60.01607717041801,2.009646302250804,1.7067021068961228,1.4175109434766195,1.5120143214010118,0.03681360939405448,1.63920978230963
XPYT8BaTqoA,Why I work so hard (despite having a ‘good’ job),UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,510843,22316,846,1453,351.5781142463868,15.358568479008946,0.5822436338609773,0.3561361983095394,0.3627517812154034,0.4380674907601207,0.04534074069723966,0.3914875624177955
uzCTHdm0T_Q,Self Study Traps to Avoid in 2023 (stop self-sabotaging!),UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,494456,25369,414,978,505.5787321063395,25.939672801635993,0.4233128834355828,0.5121333789063045,0.6126653356918453,0.3184914387528276,0.0521441746080541,0.5298225371883079
GMq8Y9vdJyI,What's the best certificate for data analysts? Google vs IBM Data Analyst Certificate,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,494417,14708,592,1609,307.2821628340584,9.141081417029211,0.36793039154754503,0.31126596578580706,0.21590186421308585,0.2768228521981684,0.030945537875922552,0.2843019051697884
Axu4tJl8gbM,How to learn data science in 2022 (the minimize effort maximize outcome way),UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,486293,21668,623,1713,283.8838295388208,12.649153531815529,0.36368943374197316,0.28756428149750224,0.2987585060941356,0.2736320474623797,0.045838619926669724,0.3013438633393822
iLCDSY2XX7E,Vibe Coding Fundamentals In 33 minutes,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,442857,15182,680,108,4100.527777777777,140.57407407407408,6.296296296296297,4.153689648659493,3.320198482871037,4.737196869479792,0.03581743090884868,4.164342127334857
JUkSeqe1eYQ,How to choose between software engineering and data science | 5 Key Considerations,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,436177,18741,703,1870,233.24973262032086,10.02192513368984,0.37593582887700533,0.23627373168599142,0.23670638304749075,0.28284596973764053,0.044578233148469544,0.25667164786993013
TT-w0-obo44,How To Train Yourself To Become A Genius,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,415422,23003,595,296,1403.4527027027027,77.71283783783784,2.010135135135135,1.4216479632674561,1.835488143801182,1.5123821086683795,0.05680488756011959,1.6527866712736357
ZsMJBw4faJM,How To Learn Things FAST,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,387608,20670,323,579,669.4438687392055,35.69948186528497,0.5578583765112263,0.6781229682213109,0.8431808376411102,0.4197205516482096,0.05416038884646344,0.712570093822105
